id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
6872887,2830,HOUSE,APARTMENT_BLOCK,250000.0,FOR_SALE,3.0,134.0,,,False,,,True,75.0,250.0,3.0,,
8929004,4030,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,102.0,HYPER_EQUIPPED,,False,True,50.0,True,125.0,185.0,3.0,,AS_NEW
9001253,6240,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,190.0,SEMI_EQUIPPED,,False,,,,,810.0,2.0,,JUST_RENOVATED
9001251,6240,HOUSE,APARTMENT_BLOCK,250000.0,FOR_SALE,3.0,190.0,SEMI_EQUIPPED,,False,,,,,810.0,2.0,,JUST_RENOVATED
8859258,6742,HOUSE,HOUSE,250000.0,FOR_SALE,4.0,190.0,INSTALLED,,False,,,,,832.0,2.0,,TO_BE_DONE_UP
8987045,6780,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,193.0,INSTALLED,,False,,,,,410.0,2.0,,TO_BE_DONE_UP
8925704,7830,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,145.0,HYPER_EQUIPPED,False,False,True,70.0,True,500.0,518.0,2.0,False,JUST_RENOVATED
8940398,7850,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,145.0,HYPER_EQUIPPED,False,False,True,70.0,True,500.0,518.0,2.0,False,JUST_RENOVATED
8990172,8790,HOUSE,HOUSE,258000.0,FOR_SALE,3.0,215.0,SEMI_EQUIPPED,,False,True,,,,640.0,3.0,,GOOD
9017540,7951,HOUSE,HOUSE,260000.0,FOR_SALE,4.0,187.0,SEMI_EQUIPPED,,False,True,,True,,490.0,3.0,,JUST_RENOVATED
8976839,8870,HOUSE,HOUSE,265000.0,FOR_SALE,4.0,185.0,INSTALLED,,False,True,,True,,216.0,2.0,,AS_NEW
9003653,9000,HOUSE,HOUSE,265000.0,FOR_SALE,4.0,130.0,INSTALLED,,False,True,,,,73.0,2.0,,GOOD
8921727,9200,HOUSE,HOUSE,268000.0,FOR_SALE,3.0,164.0,SEMI_EQUIPPED,,False,,,True,,280.0,2.0,,GOOD
8935275,6032,HOUSE,HOUSE,270000.0,FOR_SALE,5.0,226.0,NOT_INSTALLED,,False,,,,,930.0,4.0,,TO_BE_DONE_UP
8402076,6790,HOUSE,HOUSE,270000.0,FOR_SALE,3.0,166.0,INSTALLED,,False,,,,,330.0,2.0,,GOOD
8976054,8880,HOUSE,HOUSE,270000.0,FOR_SALE,3.0,180.0,SEMI_EQUIPPED,,False,True,,True,,231.0,3.0,,GOOD
8958145,8880,HOUSE,HOUSE,270000.0,FOR_SALE,3.0,180.0,SEMI_EQUIPPED,,False,True,,True,,231.0,3.0,,GOOD
8960423,4020,HOUSE,HOUSE,275000.0,FOR_SALE,6.0,180.0,INSTALLED,,False,True,12.0,,,0.0,3.0,,TO_BE_DONE_UP
8944333,5340,HOUSE,HOUSE,275000.0,FOR_SALE,3.0,110.0,SEMI_EQUIPPED,,False,,,True,,1820.0,4.0,,TO_RESTORE
8945322,1400,HOUSE,TOWN_HOUSE,280000.0,FOR_SALE,3.0,135.0,SEMI_EQUIPPED,False,False,True,15.0,True,266.0,266.0,3.0,False,GOOD
8785599,1570,HOUSE,HOUSE,280000.0,FOR_SALE,5.0,220.0,INSTALLED,,False,,,True,,517.0,3.0,,GOOD
8959172,4122,HOUSE,BUNGALOW,285000.0,FOR_SALE,3.0,115.0,INSTALLED,,False,True,,,,1100.0,4.0,False,GOOD
9007075,7870,HOUSE,VILLA,285000.0,FOR_SALE,4.0,160.0,,,False,,,,,2573.0,4.0,,GOOD
9008832,9000,HOUSE,HOUSE,285000.0,FOR_SALE,4.0,140.0,INSTALLED,,False,True,28.0,,,93.0,2.0,,JUST_RENOVATED
8980866,9600,HOUSE,HOUSE,285000.0,FOR_SALE,3.0,350.0,SEMI_EQUIPPED,,False,,,,,700.0,3.0,,TO_RENOVATE
9005846,4122,HOUSE,HOUSE,289000.0,FOR_SALE,3.0,248.0,SEMI_EQUIPPED,,False,True,,,,676.0,4.0,,GOOD
8923498,4460,HOUSE,HOUSE,289000.0,FOR_SALE,5.0,205.0,INSTALLED,False,False,,,True,80.0,0.0,3.0,False,GOOD
